Embedding,Retriever,Question,Ground Truth,Answer,Accuracy,Faithfulness,Answer Relevancy,Context Quality,Latency
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,What is the formula for seek time as a function of seek distance n?,Seek(n) = 0 if n = 0; and Seek(n) = a + bn if n > 0 where a is the mechanical settling time and b is the acceleration factor.,"The formula for seek time as a function of seek distance n is:

Seek(n) = 0 if n = 0
= a + bn if n > 0,
where n is the seek distance, a is the mechanical settling time, and b is the acceleration factor.",0.8,0.8,0.75,0.75,7.177383661270142
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,What is disk bandwidth?,The total number of bytes transferred divided by the total time between the first request of the service and completion of the last transfer of data. A scheduling algorithm should provide high bandwidth.,Disk Bandwidth: It is the total number of bytes transferred divided by the total time between the first request of the service and completion of the last transfer of the data. The scheduling algorithm should provide a high bandwidth.,0.8,0.8,0.75,0.75,1.444210688273112
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,What does a low variance of response time indicate about a disk scheduling algorithm?,It means most requests are serviced after waiting for a similar amount of time. Variance is a parameter for measuring fairness and predictability and the scheduling algorithm should minimize it.,"A low variance of response time indicates that the requests are serviced after waiting for a similar amount of time, making the system fairer and more predictable. This is because the variance measures how individual requests are serviced relative to the average system performance, so a low variance means that most requests have similar response times.",0.8,0.8,0.75,0.75,1.683024565378825
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,What is the order in which a disk physical block address is identified?,First the cylinder is identified then the track within the cylinder and finally the sector within the track.,"The disk physical block address is identified in the following order:

1. Cylinder
2. Track within the cylinder
3. Sector within the track",0.8,0.8,0.75,0.75,1.1487233638763428
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,Under what conditions does FCFS perform well and what is its main drawback under heavy load?,FCFS may be good when disk load is low and requests are uniformly distributed. As disk load increases. FCFS provides poor performance because it increases the average response time. ,"FCFS performs well when the load on the disk is low and the requests are uniformly distributed. However, as the load on the disk increases, FCFS provides poor performance due to increased average response time.

Its main drawback under heavy load is that it increases the average response time, making it inefficient for high loads.",0.8,0.8,0.75,0.75,1.7560736338297527
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,What is starvation in SSTF and how can it occur?,A request very far from the current head position will not get scheduled if arriving requests continuously have shorter seek times. This causes starvation. Requests concentrated in one region are served most while others starve indefinitely.,"In the SSTF (Shortest Seek Time First) algorithm, starvation occurs when a request that is far away from the current head position does not get scheduled if arriving requests have less seek time compared to this request. This means that the request will be ignored or left waiting, causing it to starve. As a result, requests concentrated in one region are served first, while others are left to wait.",0.8,0.8,0.75,0.75,1.9717124303181965
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,For which type of system is SSTF best suited and for which is it least efficient?,SSTF is best suitable for batch-processing systems where high throughput and average response time are required. It may not be efficient for interactive and online systems where high response time and predictability are required.,SSTF (Shortest Seek Time First) algorithm is best suited for batch-processing systems where high throughput and average response time are required. It is least efficient for interactive and online systems where high response time and predictability are required.,0.8,0.8,0.75,0.75,1.4121500651041667
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,Why is the SCAN algorithm also called the elevator algorithm?,The SCAN algorithm is called the elevator algorithm because it works like an elevator that moves in one direction servicing requests until it reaches the end of the disk and reverses direction after reaching the top or ground floor.,"The SCAN algorithm is also known as the elevator algorithm because it takes an analogy from an elevator that continues in one direction, servicing each floor (or request) as per the requests and reverses its direction after reaching the top or ground floor.",0.8,0.8,0.75,0.75,1.4304948647816975
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,How does C-SCAN differ from SCAN when the head reaches the end of the disk?,In C-SCAN instead of reversing direction the head returns to the beginning of the disk without serving any request in its return path and scans in the same direction again. It treats the cylinders as a circular queue.,"C-SCAN differs from SCAN when the head reaches the end of the disk in that, instead of reversing its direction and scanning back to the beginning of the disk, it returns to the beginning of the disk without serving any request in its path. It then scans and services the requests again in the earlier direction.",0.8,0.8,0.75,0.75,1.6318897406260173
sentence-transformers/all-MiniLM-L6-v2,Chroma MMR,What key difference does the LOOK algorithm have compared to SCAN?,In LOOK the disk head moves only until the last request in its direction rather than all the way to the last cylinder eliminating unnecessary seek operations and decreasing average response time.,"The LOOK algorithm treats the request queue as a linear list, whereas the SCAN algorithm moves the disk head to the last cylinder and then reverses its direction. The LOOK algorithm solves this deficiency by having the disk head look ahead in its direction of movement for the last request, moving to that request without moving to the last cylinder, and continuing to service the request in the other direction. This eliminates unnecessary seek operations and decreases the average response time and variance of response time.",0.8,0.8,0.75,0.75,2.215459187825521
